bucket,priority,title,author,occurrenceCount,statesCount,districtsCount,topBanStatus,matchedSlug,existingCompleteness,matchType,notes
existing_but_incomplete,high,Push,Sapphire,11,4,11,Banned in Libraries and Classrooms,push,incomplete_affiliate,title_author,Matched by normalized title/author to push
existing_but_incomplete,high,"Be Gay, Do Comics: Queer History, Memoir, and Satire",The Nib,4,1,4,Banned in Libraries,be-gay-do-comics-queer-history-memoir-and-satire,incomplete_content,title_author,Matched by normalized title/author to be-gay-do-comics-queer-history-memoir-and-satire
existing_but_incomplete,high,Zahra's Paradise,Amir,3,1,3,Banned in Libraries,zahras-paradise,incomplete_content,title_author,Matched by normalized title/author to zahras-paradise
existing_but_incomplete,normal,All-Action Classics No. 3: The Odyssey,Homer,1,1,1,Banned Pending Investigation,all-action-classics-no-3-the-odyssey,incomplete_affiliate,title_author,Matched by normalized title/author to all-action-classics-no-3-the-odyssey
existing_but_incomplete,normal,"Citrus Plus, Vol. 1",Saburouta,1,1,1,Banned in Libraries,citrus-plus,incomplete_affiliate,title_author,Matched by normalized title/author to citrus-plus
existing_but_incomplete,normal,"City of Light, City of Dark",Avi,1,1,1,Banned in Libraries,city-of-light-city-of-dark,incomplete_content,title_author,Matched by normalized title/author to city-of-light-city-of-dark
existing_but_incomplete,normal,Complete Guide to Drawing and Painting,Reader's Digest Editors,1,1,1,Banned Pending Investigation,complete-guide-to-drawing-and-painting,incomplete_content,title_author,Matched by normalized title/author to complete-guide-to-drawing-and-painting
existing_but_incomplete,normal,Girl Talk: The Ultimate Body & Puberty Book for Girls,Editors of Cider Mill Press,1,1,1,Banned Pending Investigation,girl-talk-the-ultimate-body-puberty-book-for-girls,incomplete_content,title_author,Matched by normalized title/author to girl-talk-the-ultimate-body-puberty-book-for-girls
existing_but_incomplete,normal,The Bible,Unknown,1,1,1,Banned Pending Investigation,the-bible,incomplete_content,title_author,Matched by normalized title/author to the-bible
likely_existing_but_mismatch,high,"Citrus Plus, Vol. 2",Saburouta,1,1,1,Banned in Libraries,citrus-plus,incomplete_affiliate,variant,94% title match with citrus-plus
likely_truly_missing,high,Flamer,"Curato, Mike",15,8,15,Banned in Libraries,,,missing,
likely_truly_missing,high,Gender Queer: A Memoir,"Kobabe, Maia",15,10,15,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Tricks,"Hopkins, Ellen",13,7,13,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Crank,"Hopkins, Ellen",12,5,12,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",12,4,12,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,A Court of Mist and Fury,"Maas, Sarah J.",11,5,11,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Sold,"McCormick, Patricia",11,6,11,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Milk and Honey,"Kaur, Rupi",10,5,10,Banned Pending Investigation,,,missing,
likely_truly_missing,high,The Bluest Eye,"Morrison, Toni",10,6,10,Banned Pending Investigation,,,missing,
likely_truly_missing,high,This Book Is Gay,"Dawson, Juno",10,7,10,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,A Court of Frost and Starlight,"Maas, Sarah J.",9,5,9,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,A Court of Thorns and Roses,"Maas, Sarah J.",9,5,9,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,A Court of Wings and Ruin,"Maas, Sarah J.",9,5,9,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,All Boys Aren't Blue,"Johnson, George M.",9,5,9,Banned Pending Investigation,,,missing,
likely_truly_missing,high,The Perks of Being a Wallflower,"Chbosky, Stephen",9,7,9,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,What Girls Are Made Of,"Arnold, Elana K.",9,4,9,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Red Hood,"Arnold, Elana K.",8,5,8,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,The Haters,"Andrews, Jesse",8,4,8,Banned Pending Investigation,,,missing,
likely_truly_missing,high,The Sun and Her Flowers,"Kaur, Rupi",8,2,8,Banned in Libraries,,,missing,
likely_truly_missing,high,Thirteen Reasons Why,"Asher, Jay",8,5,8,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Breathless,"Niven, Jennifer",7,3,7,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Damsel,"Arnold, Elana K.",7,5,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Eleanor & Park,"Rowell, Rainbow",7,6,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Empire of Storms,"Maas, Sarah J.",7,5,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Fallout,"Hopkins, Ellen",7,5,7,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Identical,"Hopkins, Ellen",7,5,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Impulse,"Hopkins, Ellen",7,5,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Looking for Alaska,"Green, John",7,5,7,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Melissa (George),"Gino, Alex",7,4,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Nineteen Minutes,"Picoult, Jodi",7,5,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Out of Darkness,"Pérez, Ashley Hope",7,4,7,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,The Carnival at Bray,"Foley, Jessie Ann",7,4,7,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,The Hate U Give,"Thomas, Angie",7,4,7,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Tilt,"Hopkins, Ellen",7,4,7,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Forever...,"Blume, Judy",6,4,6,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Lawn Boy,"Evison, Jonathan",6,4,6,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Lucky,"Sebold, Alice",6,3,6,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Me and Earl and the Dying Girl,"Andrews, Jesse",6,3,6,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Monday's Not Coming,"Jackson, Tiffany D.",6,3,6,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Oryx and Crake,"Atwood, Margaret",6,5,6,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Scars,"Rainfield, Cheryl",6,4,6,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Shine,"Myracle, Lauren",6,4,6,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,The Handmaid's Tale,"Atwood, Margaret",6,4,6,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,The Nowhere Girls,"Reed, Amy",6,3,6,Banned Pending Investigation,,,missing,
likely_truly_missing,high,The Upside of Unrequited,"Albertalli, Becky",6,4,6,Banned Pending Investigation,,,missing,
likely_truly_missing,high,This One Summer,"Tamaki, Mariko",6,5,6,Banned Pending Investigation,,,missing,
likely_truly_missing,high,Watchmen,"Moore, Alan",6,1,6,Banned in Libraries,,,missing,
likely_truly_missing,high,A ​Court of Silver Flames,"Maas, Sarah J.",5,3,5,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Home After Dark,"Small, David",5,1,5,Banned in Libraries,,,missing,
likely_truly_missing,high,Last Night at the Telegraph Club,"Lo, Malinda",5,3,5,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,Neanderthal Opens the Door to the Universe,"Norton, Preston",5,3,5,Banned Pending Investigation,,,missing,
likely_truly_missing,high,People Kill People,"Hopkins, Ellen",5,3,5,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,"Red, White, and Royal Blue","McQuiston, Casey",5,5,5,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,high,The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",5,3,5,Banned Pending Investigation,,,missing,
likely_truly_missing,high,The Kite Runner,"Hosseini, Khaled",5,3,5,Banned Pending Investigation,,,missing,
likely_truly_missing,high,The Truth About Alice: A Novel,"Mathieu, Jennifer",5,4,5,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Allegedly,"Jackson, Tiffany D.",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Almost Perfect,"Katcher, Brian",4,4,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,And Tango Makes Three,"Richardson, Justin",4,2,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Boy Toy,"Lyga, Barry",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Burned (EH),"Hopkins, Ellen",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Clockwork Princess,"Clare, Cassandra",4,3,4,Banned in Libraries,,,missing,
likely_truly_missing,normal,Drama: A Graphic Novel,"Telgemeier, Raina",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Fade,"McMann, Lisa",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Grown,"Jackson, Tiffany D.",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,I am Jazz,"Jennings, Jazz",4,2,4,Banned in Libraries,,,missing,
likely_truly_missing,normal,I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",4,4,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,I Never,"Hopper, Laura",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,I'll Give You the Sun,"Nelson, Jandy",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Killing Mr. Griffin,"Duncan, Lois",4,2,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Kingdom of Ash,"Maas, Sarah J.",4,4,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Laura Dean Keeps Breaking Up with Me,"Tamaki, Mariko",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,"Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)","Moen, Erika",4,3,4,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Living Dead Girl,"Scott, Elizabeth",4,4,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,More Happy Than Not,"Silvera, Adam",4,4,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Perfect,"Hopkins, Ellen",4,4,4,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Ramona Blue,"Murphy, Julie",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Slaughterhouse-Five,"Vonnegut Jr., Kurt",4,4,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Smoke,"Hopkins, Ellen",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,The Art of Racing in the Rain,"Stein, Garth",4,3,4,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,The Black Flamingo,"Atta, Dean",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,The Infinite Moment of Us,"Myracle, Lauren",4,4,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,The Lovely Bones,"Sebold, Alice",4,4,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,The You I've Never Known,"Hopkins, Ellen",4,3,4,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Triangles,"Hopkins, Ellen",4,2,4,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Water for Elephants,"Gruen, Sara",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,We Are the Ants,"Hutchinson, Shaun David",4,3,4,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,When Aidan Became a Brother,"Lukoff, Kyle",4,2,4,Banned in Libraries,,,missing,
likely_truly_missing,normal,Yolk,"Choi, Mary H.K.",4,3,4,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,All the Things We Do in the Dark,"Mitchell, Saundra",3,3,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,"Angus, Thongs and Full-Frontal Snogging","Rennison, Louise",3,2,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Beautiful,"Reed, Amy",3,3,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Beloved,"Morrison, Toni",3,2,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",3,3,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Dear Martin,"Stone, Nic",3,3,3,Banned in Libraries,,,missing,
likely_truly_missing,normal,Deogratias: A Tale of Rwanda,"Stassen, Jean-Philippe",3,2,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Dreaming in Cuban,"García, Cristina",3,2,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Foul is Fair,"Capin, Hannah",3,2,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,"Gabi, a Girl in Pieces","Quintero, Isabel",3,3,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Glass,"Hopkins, Ellen",3,3,3,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",3,3,3,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",3,3,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Kiss Number 8,"Venable, Colleen A. F.",3,2,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,"l8r, g8r","Myracle, Lauren",3,1,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Lighter Than My Shadow,"Green, Katie",3,1,3,Banned in Libraries,,,missing,
likely_truly_missing,normal,Lily and Dunkin,"Gephart, Donna",3,2,3,Banned in Libraries,,,missing,
likely_truly_missing,normal,Ready or Not,"Cabot, Meg",3,1,3,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Rumble,"Hopkins, Ellen",3,2,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",3,3,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,"Stamped: Racism, Antiracism, and You","Reynolds, Jason",3,1,3,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",3,2,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,The Breakaways,"Johnson, Cathy G.",3,2,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,The Freedom Writers Diary,"Gruwell, Erin",3,3,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,The Poet X,"Acevedo, Elizabeth",3,3,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,The Prince and the Dressmaker,"Wang, Jen",3,1,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,ttyl,"Myracle, Lauren",3,2,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Twisted,"Anderson, Laurie Halse",3,3,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Two Boys Kissing,"Levithan, David",3,3,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Unravel Me,"Mafi, Tahereh",3,2,3,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,A Day in the Life of Marlon Bundo,"Twiss, Jill",2,1,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Acceptance,"VanderMeer, Jeff",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,All the Bright Places,"Niven, Jennifer",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Aristotle and Dante Discover the Secrets of the Universe,"Sáenz, Benjamin Alire",2,2,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Ask the Passengers,"King, A. S.",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Assassination Classroom,"Matsui, Yūsei",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Boy Girl Boy,"Koertge, Ron",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,City of Heavenly Fire,"Clare, Cassandra",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Collateral,"Hopkins, Ellen",2,2,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Dead Until Dark,"Harris, Charlaine",2,1,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Dime,"Frank, E. R.",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Doing It!: Let's Talk About Sex,"Witton, Hannah",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Felix Ever After,"Callender, Kacen",2,2,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Fly on the Wall: How One Girl Saw Everything,"Lockhart, E.",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Forever for a Year,"Gottfred, B. T.",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Fun Home: A Family Tragicomic,"Bechdel, Alison",2,2,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Go Ask Alice,"Sparks, Beatrice",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Grit,"French, Gillian",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,grl2grl,"Peters, Julie Anne",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Heroine,"McGinnis, Mindy",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Himawari House,"Becker, Harmony",2,1,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,House of Earth and Blood,"Maas, Sarah J.",2,1,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,It Ends With Us,"Hoover, Colleen",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,It Feels Good To Be Yourself: A Book About Gender Identity,"Thorn, Theresa",2,1,2,Banned in Libraries,,,missing,
likely_truly_missing,normal,Jesus Land: A Memoir,"Scheeres, Julia",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Juliet Takes a Breath,"Rivera, Gabby",2,2,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Julián Is a Mermaid,"Love, Jessica",2,2,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Last Man: The Royal Cup,"Vivès, Bastien",2,1,2,Banned in Libraries,,,missing,
likely_truly_missing,normal,Leah on the Offbeat,"Albertalli, Becky",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Light It Up,"Magoon, Kekla",2,1,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,My Friend Dahmer,"Backderf, Derf",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Not That Bad: Dispatches from Rape Culture,"Gay, Roxane",2,2,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Queer: The Ultimate LGBTQ Guide for Teens,"Belge, Kathy",2,2,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Race and Policing in Modern America,"Harris, Duchess",2,1,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,"Shirley Jackson's ""The Lottery"": The Authorized Graphic Adaptation","Hyman, Miles",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Skin,"Vrettos, Adrienne Maria",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Sloppy Firsts,"McCafferty, Megan",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Speak,"Anderson, Laurie Halse",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Stamped from the Beginning: The Definitive History of Racist Ideas in America,"Kendi, Ibram X.",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,The Complete Maus: A Survivor's Tale,"Spiegelman, Art",2,1,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,The Daughters of Ys,"Anderson, M.T.",2,1,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,The Female of the Species,"McGinnis, Mindy",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,The House on Mango Street,"Cisneros, Sandra",2,2,2,Banned in Libraries,,,missing,
likely_truly_missing,normal,The Sacrifice of Darkness,"Gay, Roxane",2,1,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,They Both Die at the End,"Silvera, Adam",2,1,2,Banned in Libraries,,,missing,
likely_truly_missing,normal,Tower of Dawn,"Maas, Sarah J.",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Traffick,"Hopkins, Ellen",2,2,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel",2,1,2,Banned in Libraries,,,missing,
likely_truly_missing,normal,Where I End and You Begin,"Norton, Preston",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,Why Comics?: From Underground to Everywhere,"Chute, Hillary L.",2,1,2,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",2,2,2,Banned Pending Investigation,,,missing,
likely_truly_missing,normal,#Hockey,"Ukazu, Ngozi",1,1,1,Banned in Libraries and Classrooms,,,missing,
likely_truly_missing,normal,"10,000 Dresses","Ewert, Marcus",1,1,1,Banned in Libraries,,,missing,
